"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite 1","TestCase 1","Add","request","OK","","31-sty-2020 15_34",
"TestSuite 1","TestCase 1","Add_2","request","OK","","31-sty-2020 15_34",
"TestSuite 1","TestCase 1","Groovy Script","groovy","OK","","31-sty-2020 15_34",
"TestSuite 1","TestCase 1","Multiply","request","OK","","31-sty-2020 15_34",
"TestSuite 1","TestCase 1","Properties","properties","OK","","31-sty-2020 15_34",
